Number_of_Singers,Vocal_Gender,Language,Length_of_Time,Number_of_YouTube_Clicks,Billboard_Rank_at_Peak
1,Male,Spanish,290,635,5
1,Male,English,217,7.8,62
2,Mixed,English,203,8.8,6
2,Male,Spanish,202,385,6
1,Male,English,153,6.4,48
1,Female,English,170,40,16
2,Male,English,166,17,40
2,Male,English,205,215,22
1,Female,English,172,0.149,0
1,Female,English,233,5.1,13
1,Male,English,162,129,8
1,Male,English,154,180,8
1,Male,English,202,1.2,0
1,Female,English,193,136,7
1,Male,English,151,2.3,45
2,Mixed,English,240,37,91
1,Female,English,172,16,1
1,Female,English,287,29,1
4,Female,Korean,181,119,0
2,Mixed,English,178,5.9,0
1,Female,English,203,59,15
3,Male,English,187,18,5
1,Male,English,158,621,1
1,Female,English,246,85,1
2,Mixed,English,208,118,21
2,Male,English,175,35,4
9,Male,English,243,39,10
4,Male,English,166,61,47
1,Male,English,196,36,3
1,Male,English,147,22,30
1,Male,English,183,5,0
1,Female,English,296,136,3
1,Male,Spanish,195,140,86
1,Male,English,155,64,1
5,Female,Korean,263,26,0
2,Female,English,227,3.8,0
1,Male,English,174,83,53
2,Mixed,English,176,36,69
2,Mixed,English,198,37,5
1,Male,English,235,34,8
3,Male,English,239,55,1
1,Male,English,166,318,1
4,Male,English,236,396,1
1,Female,English,196,11,93
1,Male,English,102,17,99
5,Male,English,155,64,8
1,Male,English,243,23,2
2,Male,Spanish,204,289,98
4,Female,Korean,194,336,22
1,Male,English,219,36,1
1,Male,English,207,3.7,16
1,Male,English,190,4.8,22
1,Male,English,187,78,29
1,Male,English,207,83,14
1,Male,English,227,8.3,24
1,Female,English,227,98,38
1,Male,English,192,1.4,60
1,Male,English,217,6.9,42
1,Male,English,187,2.5,73
1,Male,English,194,12,8
1,Male,English,215,19,12
1,Female,English,176,6.3,48
1,Female,English,202,36,3
1,Male,English,261,99,43
1,Male,English,183,3.4,50
1,Male,English,216,3,63
